C5, 16.32, 33.64, 270.00, 100nF, C0805
C6, 27.21, 40.05, 270.00, 100nF, C0805
C7, 29.70, 40.13, 270.00, 10µF, C0805
C8, 18.43, 33.64, 270.00, 10µF, C0805
FD1, 14.40, 1.81, 0.00, FID_20MIL_P, FID_020_P
FD2, 32.33, 1.80, 0.00, FID_20MIL_P, FID_020_P
FD3, 15.32, 41.15, 0.00, FID_20MIL_P, FID_020_P
IC1, 22.64, 37.61, 0.00, LD117AS33TR, SOT223
