Ref,Val,Package,PosX,PosY,Rot,Side
"D22","LED","LED_0805_2012Metric",29.700000,14.037500,90.000000,top
"D23","LED","LED_0805_2012Metric",29.700000,10.037500,90.000000,top
"D24","LED","LED_0805_2012Metric",27.500000,2.112500,90.000000,top
"D25","LED","LED_0805_2012Metric",32.000000,34.000000,-90.000000,top
"D26","LED","LED_0805_2012Metric",32.000000,29.962500,-90.000000,top
"D27","LED","LED_0805_2012Metric",32.000000,26.062500,-90.000000,top
"D28","LED","LED_0805_2012Metric",31.900000,21.900000,-90.000000,top
"D29","LED","LED_0805_2012Metric",31.900000,17.962500,-90.000000,top
"D30","LED","LED_0805_2012Metric",31.900000,14.012500,-90.000000,top
"D31","LED","LED_0805_2012Metric",31.900000,10.012500,-90.000000,top
"D32","LED","LED_0805_2012Metric",25.250000,2.100000,-90.000000,top
"D33","LED","LED_0805_2012Metric",34.200000,34.062500,90.000000,top
"D34","LED","LED_0805_2012Metric",34.200000,29.937500,90.000000,top
"D35","LED","LED_0805_2012Metric",34.200000,26.037500,90.000000,top
"D36","LED","LED_0805_2012Metric",34.100000,21.875000,90.000000,top
"D37","LED","LED_0805_2012Metric",34.100000,18.037500,90.000000,top
"D38","LED","LED_0805_2012Metric",34.100000,14.037500,90.000000,top
"D39","LED","LED_0805_2012Metric",29.700000,6.037500,90.000000,top
"D40","LED","LED_0805_2012Metric",31.900000,2.062500,90.000000,top
"D41","LED","LED_0805_2012Metric",36.400000,34.025000,-90.000000,top
"D42","LED","LED_0805_2012Metric",36.400000,29.900000,-90.000000,top
"D43","LED","LED_0805_2012Metric",36.400000,26.000000,-90.000000,top
"D44","LED","LED_0805_2012Metric",36.300000,21.800000,-90.000000,top
"D45","LED","LED_0805_2012Metric",36.300000,18.000000,-90.000000,top
"D46","LED","LED_0805_2012Metric",36.300000,14.050000,-90.000000,top
"D47","LED","LED_0805_2012Metric",31.950000,6.012500,-90.000000,top
"D48","LED","LED_0805_2012Metric",29.650000,2.075000,-90.000000,top
"D49","LED","LED_0805_2012Metric",38.600000,34.000000,90.000000,top
"D50","LED","LED_0805_2012Metric",38.600000,29.937500,90.000000,top
"D51","LED","LED_0805_2012Metric",38.600000,26.000000,90.000000,top
"D52","LED","LED_0805_2012Metric",38.500000,21.875000,90.000000,top
"D53","LED","LED_0805_2012Metric",38.500000,18.100000,90.000000,top
"D54","LED","LED_0805_2012Metric",34.100000,10.037500,90.000000,top
"D55","LED","LED_0805_2012Metric",34.150000,6.037500,90.000000,top
"D56","LED","LED_0805_2012Metric",36.300000,2.062500,90.000000,top
"D57","LED","LED_0805_2012Metric",40.800000,33.962500,-90.000000,top
"D58","LED","LED_0805_2012Metric",40.800000,29.862500,-90.000000,top
"D59","LED","LED_0805_2012Metric",40.800000,25.962500,-90.000000,top
"D60","LED","LED_0805_2012Metric",40.700000,21.800000,-90.000000,top
"D61","LED","LED_0805_2012Metric",40.700000,18.062500,-90.000000,top
"D62","LED","LED_0805_2012Metric",36.350000,10.062500,-90.000000,top
"D63","LED","LED_0805_2012Metric",36.350000,6.012500,-90.000000,top
"D64","LED","LED_0805_2012Metric",34.100000,2.000000,-90.000000,top
"D65","LED","LED_0805_2012Metric",43.000000,33.925000,90.000000,top
"D66","LED","LED_0805_2012Metric",43.000000,29.837500,90.000000,top
"D67","LED","LED_0805_2012Metric",43.000000,25.937500,90.000000,top
"D68","LED","LED_0805_2012Metric",42.900000,21.775000,90.000000,top
"D69","LED","LED_0805_2012Metric",38.500000,14.050000,90.000000,top
"D70","LED","LED_0805_2012Metric",38.550000,10.087500,90.000000,top
"D71","LED","LED_0805_2012Metric",38.550000,6.062500,90.000000,top
"D72","LED","LED_0805_2012Metric",40.700000,2.062500,90.000000,top
"D73","LED","LED_0805_2012Metric",45.200000,33.925000,-90.000000,top
"D74","LED","LED_0805_2012Metric",45.200000,29.862500,-90.000000,top
"D75","LED","LED_0805_2012Metric",45.200000,25.962500,-90.000000,top
"D76","LED","LED_0805_2012Metric",45.100000,21.800000,-90.000000,top
"D77","LED","LED_0805_2012Metric",40.700000,14.000000,-90.000000,top
"D78","LED","LED_0805_2012Metric",40.750000,10.062500,-90.000000,top
"D79","LED","LED_0805_2012Metric",40.750000,6.037500,-90.000000,top
"D80","LED","LED_0805_2012Metric",38.500000,2.062500,-90.000000,top
"D81","LED","LED_0805_2012Metric",47.400000,33.925000,90.000000,top
"D82","LED","LED_0805_2012Metric",47.400000,29.837500,90.000000,top
"D83","LED","LED_0805_2012Metric",47.400000,26.000000,90.000000,top
"D84","LED","LED_0805_2012Metric",42.900000,18.037500,90.000000,top
"D85","LED","LED_0805_2012Metric",42.900000,14.037500,90.000000,top
"D86","LED","LED_0805_2012Metric",42.900000,10.087500,90.000000,top
"D87","LED","LED_0805_2012Metric",42.900000,6.062500,90.000000,top
"D88","LED","LED_0805_2012Metric",45.100000,2.062500,90.000000,top
"D89","LED","LED_0805_2012Metric",49.600000,33.925000,-90.000000,top
"D90","LED","LED_0805_2012Metric",49.600000,29.800000,-90.000000,top
"D91","LED","LED_0805_2012Metric",49.600000,25.962500,-90.000000,top
"D92","LED","LED_0805_2012Metric",45.100000,17.962500,-90.000000,top
"D93","LED","LED_0805_2012Metric",45.150000,14.037500,-90.000000,top
"D94","LED","LED_0805_2012Metric",45.100000,10.062500,-90.000000,top
"D95","LED","LED_0805_2012Metric",45.100000,6.062500,-90.000000,top
"D96","LED","LED_0805_2012Metric",42.900000,2.000000,-90.000000,top
"D97","LED","LED_0805_2012Metric",51.800000,34.000000,90.000000,top
"D98","LED","LED_0805_2012Metric",51.800000,29.800000,90.000000,top
"D99","LED","LED_0805_2012Metric",47.300000,21.775000,90.000000,top
"D100","LED","LED_0805_2012Metric",47.300000,18.037500,90.000000,top
"D101","LED","LED_0805_2012Metric",47.350000,14.037500,90.000000,top
"D102","LED","LED_0805_2012Metric",47.350000,10.087500,90.000000,top
"D103","LED","LED_0805_2012Metric",47.350000,6.100000,90.000000,top
"D104","LED","LED_0805_2012Metric",49.500000,2.062500,90.000000,top
