C10, 22.86, 15.88, 90.00, 10µF, C0805
C12, 31.24, 14.86, 90.00, 100nF, C0805
C13, 18.41, 13.72, 270.00, 4.7µF, C0805
C14, 20.45, 14.35, 90.00, 100nF, C0805
C6, 8.13, 5.21, 90.00, 10µF, C0805
C7, 25.40, 5.71, 270.00, 100nF, C0805
C8, 22.86, 6.99, 270.00, 100nF, C0805
C9, 29.21, 6.35, 180.00, 10µF, C0805
IC2, 26.03, 11.43, 270.00, AMS1117-3.3, SOT223
