#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,12,0,1,411.06,303.85,90.00,0805,0805/10uF,1.50,100,1.50,100,No,-40,1,70,4,50,80,No,No,
stack,13,0,1,411.49,325.33,90.00,0805,0805/LED_RED,1.50,100,1.00,100,No,-40,1,70,4,50,80,No,No,
stack,3,0,1,411.41,119.10,90.00,0805,0805/1k,1.50,100,1.00,100,No,-40,1,70,4,50,80,No,No,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
mark,Whole,Auto,139.2,25.23,101.2,60.03,91.2,48.83,139.2,60.23,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
test,No
mirror_create,1,1,79.0,24.43,0,0,0,0,0.0
mirror,80.6,50.03,0.0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,13,1,D61,LED_RED,0805,119.7,42.49,-90.0,No,
comp,13,2,D62,LED_RED,0805,115.35,34.49,-90.0,No,
comp,13,1,D63,LED_RED,0805,115.35,30.44,-90.0,No,
comp,13,2,D64,LED_RED,0805,113.1,26.43,-90.0,No,
comp,13,1,D65,LED_RED,0805,122.0,58.35,90.0,No,
comp,13,2,D66,LED_RED,0805,122.0,54.27,90.0,No,
comp,13,1,D67,LED_RED,0805,122.0,50.37,90.0,No,
comp,13,2,D68,LED_RED,0805,121.9,46.2,90.0,No,
comp,13,1,D69,LED_RED,0805,117.5,38.48,90.0,No,
comp,13,2,D70,LED_RED,0805,117.55,34.52,90.0,No,
comp,13,1,D71,LED_RED,0805,117.55,30.49,90.0,No,
comp,13,2,D72,LED_RED,0805,119.7,26.49,90.0,No,
comp,13,1,D73,LED_RED,0805,124.2,58.35,-90.0,No,
comp,13,2,D74,LED_RED,0805,124.2,54.29,-90.0,No,
comp,13,1,D75,LED_RED,0805,124.2,50.39,-90.0,No,
comp,13,2,D76,LED_RED,0805,124.1,46.23,-90.0,No,
comp,13,1,D77,LED_RED,0805,119.7,38.43,-90.0,No,
comp,13,2,D78,LED_RED,0805,119.75,34.49,-90.0,No,
comp,13,1,D79,LED_RED,0805,119.75,30.47,-90.0,No,
